JR118200015;Reza Rahadiyan;21/12/2000;L;85369237098;A201;JR118200015@asrama.itera.ac.id;Sumatera Barat;Padang;Jl. Timun;"Asma,Tifus";P11;SR121170001;TM_01;TF_01;TK_01;TB_01
JR118200016;Alexia Adri	;08/12/1999;P;85369211098;B201;JR118200016@asrama.itera.ac.id;Lampung;Metro;Jl. Ikan Berwarna;DBD;P12;SR121170007;TM_02;TF_02;TK_02;TB_02
JR118210002;Budi Hidayat;23/05/2000;L;85369237298;A201;JR118210002@asrama.itera.ac.id;Banten;Tanggerang;	Jl. Meteorit;Tidak Ada;P12;SR131170008;TM_01;TF_01;TK_01;TB_01
JR118220010;Sunarto Uzumaki;27/01/2000;L;85369237048;A202;JR118220010@asrama.itera.ac.id;DKI Jakarta;Jakarta;Jl. Ninja;Pilek;P21;SR141170009;TM_02;TF_02;TK_02;TB_02
JR118230025;Yucup  Rizaldo;02/11/1999;L;85369237492;A202;JR118230025@asrama.itera.ac.id;Jawa Tengah;Semarang;Jl. Kuyaja;"Asma,Pilek";P22;SR141171201;TM_01;TF_01;TK_01;TB_01
JR118240026;Riani ;18/08/2000;P;85369227098;B201;JR118240026@asrama.itera.ac.id;Jawa Barat;Depok;Jl. Macet;Tifus;P12;SR211170801;TM_02;TF_02;TK_02;TB_02
JR118240031;Tini;09/01/2001;P;85369237093;B202;JR118240031@asrama.itera.ac.id;Jambi;Jambi;Jl. Raden;Tidak Ada;P21;SR221171100;TM_01;TF_01;TK_01;TB_01
JR118240060;Putri;12/12/2000;P;85369234088;B202;JR118240060@asrama.itera.ac.id;Bali;Denpasar;Jl. Sambung-Menyambung;Tidak Ada;P22;SR221170101;TM_02;TF_02;TK_02;TB_02
JR118250032;Mario Kartono;07/10/1999;L;85169234088;A203;JR118250032@asrama.itera.ac.id;Lampung;Kotabumi;Jl. Salak;Tidak Ada;P12;SR121170001;TM_01;TF_01;TK_01;TB_01
JR118250033;Rio Pradana;24/03/2000;L;85369234087;A203;JR118250033@asrama.itera.ac.id;Sumatera Barat;Bukit Tinggi;Jl. Pahlawan;Maag;P22;SR131170008;TM_02;TF_02;TK_02;TB_02
JR118250034;Shinta Agustina;21/09/1999;P;85369234388;B203;JR118250034@asrama.itera.ac.id;Jawa Tengah;Kebumen;Jl. Lurus;Tidak Ada;P11;SR121170007;TM_01;TF_01;TK_01;TB_01
JR118250035;Cantika Berliana;12/06/2000;P;85369234090;B203;JR118250035@asrama.itera.ac.id;Jawa Barat;Bogor;Jl. Rambutan;Asma;P22;SR211170801;TM_02;TF_02;TK_02;TB_02
